grupo;Z-score Geral;Z-score_Icms;Z-score_Empresas;Z-score_Empregos;_QuocienteLocacional;_EmpresasRS;;;;
ATIVIDADES ARTÍSTICAS; CRIATIVAS E DE ESPETÁCULOS;1.506.092.998.976.180;-0.1847576141310319;14.460.264.861.690.700;0.9297571401424576;10.363.869.666.636.500;7797;;;
FABRICAÇÃO DE PRODUTOS DE METAL NÃO ESPECIFICADOS ANTERIORMENTE;150.060.787.737.969;17.146.875.109.255.600;55.918.236.091.717.700;4.225.539.004.863.110;18.972.470.806.196.500;3020;;;;
FABRICAÇÃO DE PRODUTOS DE MATERIAL PLÁSTICO;14.373.777.989.679.800;3.118.805.379.940.140;4.260.722.001.875.110;62.006.436.282.086.300;18.450.520.404.798.700;2303;;;;
COMÉRCIO ATACADISTA DE PRODUTOS DE CONSUMO NÃO ALIMENTAR;14.168.875.740.869.600;11.895.572.741.038.800;9.360.493.431.782.940;3.608.440.776.952.100;1.001.109.370.794.000;5050;;;;
ATIVIDADES DE LIMPEZA;140.608.551.105.063;-0.18423041809643548;54.637.259.649.549.300;8.152.113.779.719.190;10.848.209.464.776.100;2951;;;;
INTERMEDIAÇÃO MONETÁRIA - DEPÓSITOS À VISTA;13.399.136.371.769.500;-0.1856769318090135;44.853.570.011.539.000;810.419.434.599.877;11.846.347.386.807.000;2424;;;;
FABRICAÇÃO DE PARTES PARA CALÇADOS; DE QUALQUER MATERIAL;12.895.478.713.269.700;0.04361444732740983;18.491.446.129.234.200;20.132.223.431.006.300;5.882.663.178.105.240;1004;;;
ATIVIDADES ESPORTIVAS;12.631.532.491.087.400;-0.1822605336234743;10.741.720.204.207.900;2.337.166.388.251.390;0.9600503420447123;5794;;;;
DESDOBRAMENTO DE MADEIRA;12.075.869.545.993.000;0.02772397452818439;33.770.339.055.387;18.031.140.567.880.000;3.041.125.253.409.000;1827;;;;
ATIVIDADES DE SERVIÇOS DE COMPLEMENTAÇÃO DIAGNÓSTICA E TERAPÊUTICA;11.622.657.141.101.500;-0.1856769318090135;7.186.546.455.291.470;31.613.372.822.393.500;11.799.669.848.094.100;3879;;;;
